epoch,ppl_train,ppl_val
1,232.13565,200.66037
2,171.60805,147.17564
3,143.09464,123.927765
4,126.39076,111.53807
5,114.98668,103.98628
6,105.59925,99.657036
7,101.094185,96.31689
8,94.421616,94.09226
9,90.264755,92.05718
10,87.00372,90.78949
11,85.455086,89.59883
12,82.319916,88.43462
13,78.85299,87.54907
14,78.11894,87.64347
15,62.1271,82.54991
16,60.625656,82.06371
17,59.615147,81.6151
18,58.087093,81.42657
19,57.60181,81.23235
20,56.21831,81.37296
21,52.56878,80.506546
22,53.09727,80.40569
23,51.930416,80.28873
24,52.06993,80.35863
25,51.214333,80.04881
26,50.1349,79.9725
27,51.14805,79.99191
28,50.29503,79.92775
29,51.552895,79.88964
30,50.77353,79.87547
31,50.610706,79.87467
32,51.269066,79.86092
33,50.07695,79.83888
34,50.72383,79.84733
35,49.452656,79.84189
36,50.19936,79.8391
37,51.056183,79.83858
38,50.62281,79.83877
39,50.439747,79.83861
40,49.942932,79.83858
